标志,信号强度,版本号,心率,皮肤电,温度,IBI,x轴加速度,y轴加速度,z轴加速度,步数
69,75,199,82,849,0,769,211,76,150,0,
70,75,199,82,839,0,735,211,76,146,0,
71,76,200,83,848,0,739,211,75,144,0,
72,76,199,84,848,0,727,211,76,144,0,
73,76,199,84,848,0,665,210,75,145,0,
74,76,199,84,847,0,697,211,75,147,0,
75,76,200,83,846,0,779,211,75,143,0,
76,76,199,82,846,0,901,211,75,147,0,
77,75,198,80,845,0,967,211,75,147,0,
78,77,199,78,838,0,974,214,102,118,0,
79,72,200,76,834,0,973,209,66,181,0,
80,73,200,74,834,0,922,207,66,181,0,
81,73,198,73,837,0,848,208,66,180,0,
82,73,200,73,840,0,817,208,67,180,0,
83,73,200,73,848,0,749,207,67,181,0,
84,73,199,74,852,0,724,207,66,182,0,
85,73,201,74,851,0,763,208,67,179,0,
86,74,199,74,851,0,793,207,67,180,0,
87,74,201,73,850,0,786,208,67,180,0,
88,73,200,73,851,0,799,208,67,179,0,
89,73,199,72,849,0,856,209,67,179,0,
90,73,199,71,850,0,865,208,69,178,0,
91,73,200,70,850,0,985,210,68,179,0,
92,73,200,69,849,0,1021,209,68,179,0,
93,73,199,69,849,0,1007,208,68,179,0,
94,73,199,69,848,0,936,208,68,179,0,
95,73,199,69,847,0,857,208,67,179,0,
96,73,199,71,847,0,794,208,67,180,0,
97,73,201,71,847,0,904,208,68,178,0,
98,73,197,71,847,0,907,208,67,179,0,
99,73,200,70,847,0,977,208,68,179,0,
100,73,199,69,845,0,999,210,68,178,0,
101,73,199,68,846,0,1047,209,69,178,0,
102,73,199,66,846,0,1037,208,67,178,0,
103,73,198,66,845,0,992,208,67,179,0,
104,73,198,65,844,0,899,208,68,179,0,
105,75,198,65,845,0,895,208,68,178,0,
106,73,199,65,842,0,868,208,68,178,0,
107,73,198,64,841,0,853,208,68,179,0,
108,73,199,64,841,0,863,208,68,179,0,
109,73,199,64,842,0,901,208,69,179,0,
110,73,200,64,841,0,980,208,68,179,0,
111,75,199,64,815,0,905,211,71,160,0,
112,77,199,65,819,0,853,209,93,75,0,
113,76,199,65,817,0,821,209,85,72,0,
114,77,199,65,818,0,845,208,84,73,0,
115,76,199,65,818,0,799,210,84,75,0,
116,76,198,66,819,0,821,214,81,78,0,
117,76,199,66,820,0,795,210,76,88,0,
118,83,201,67,822,0,823,213,77,133,0,
119,81,199,68,815,0,808,211,76,111,0,
120,81,197,70,819,0,745,211,76,110,0,
121,80,198,70,821,0,735,211,76,111,0,
122,81,199,71,820,0,731,211,76,111,0,
123,80,200,72,821,0,727,211,75,110,0,
124,81,199,73,814,0,773,209,72,110,0,
125,80,200,73,813,0,770,207,69,80,0,
126,84,199,76,817,0,756,206,71,65,0,
127,84,199,76,815,0,761,210,75,171,0,
128,87,199,77,820,0,676,207,82,188,0,
129,87,198,78,837,0,681,208,82,188,0,
130,85,198,79,837,0,754,208,81,188,0,
131,86,200,79,825,0,778,208,83,187,0,
132,86,200,79,838,0,776,208,82,188,0,
133,86,198,79,831,0,805,209,77,185,0,
134,89,200,79,832,0,756,210,76,74,0,
135,79,198,79,861,0,800,205,67,116,0,
136,74,199,79,893,0,800,209,69,97,0,
137,75,201,75,904,0,1611,210,75,77,0,
138,79,198,74,823,0,848,210,72,95,0,
139,88,199,74,831,0,848,208,72,83,0,
140,77,199,67,890,0,2559,211,65,79,0,
141,81,199,68,797,0,274,210,73,116,0,
142,81,197,68,790,0,274,211,73,114,0,
143,81,198,63,787,0,2244,210,73,112,0,
144,82,199,63,785,0,867,211,73,113,0,
145,82,199,62,784,0,860,211,73,116,0,
146,83,198,62,784,0,846,210,72,110,0,
147,83,198,61,782,0,856,210,73,113,0,
148,81,199,61,781,0,796,211,74,114,0,
149,82,198,61,780,0,809,211,73,112,0,
150,82,199,61,766,0,809,210,73,105,0,
151,82,199,60,779,0,805,210,73,108,0,
152,82,198,60,777,0,773,210,74,103,0,
153,82,198,61,775,0,707,211,74,105,0,
154,82,199,61,777,0,704,211,74,103,0,
155,82,199,61,775,0,716,211,74,104,0,
156,83,201,64,775,0,743,210,73,104,0,
157,81,197,71,773,0,743,210,74,102,0,
158,70,199,70,771,0,718,210,73,108,0,
159,82,199,77,770,0,745,211,73,112,0,
160,82,200,78,769,0,718,210,73,111,0,
161,84,198,78,768,0,736,211,73,118,0,
162,83,198,79,768,0,734,211,75,109,0,
163,84,198,79,766,0,773,211,74,107,0,
164,84,199,79,765,0,827,210,73,109,0,
165,83,199,79,764,0,884,210,73,109,0,
166,84,199,79,765,0,794,209,73,101,0,
167,86,199,78,763,0,830,211,73,109,0,
168,86,199,78,762,0,850,210,73,110,0,
169,84,199,77,761,0,806,211,73,111,0,
170,86,199,77,760,0,808,211,74,109,0,
171,86,198,76,762,0,840,210,73,100,0,
172,88,199,75,761,0,856,211,73,109,0,
173,85,200,75,759,0,848,211,73,110,0,
174,84,200,75,758,0,751,211,73,110,0,
175,81,198,75,759,0,737,210,73,110,0,
176,74,199,74,757,0,758,211,77,106,0,
177,76,199,74,757,0,786,210,72,119,0,
178,76,196,74,758,0,748,210,72,113,0,
179,76,200,74,756,0,747,210,72,116,0,
180,77,199,74,756,0,745,209,72,116,0,
181,76,199,76,758,0,717,210,72,107,0,
182,77,200,76,757,0,745,211,73,110,0,
183,77,198,76,757,0,779,211,73,114,0,
184,76,201,77,758,0,759,211,73,102,0,
185,76,199,77,756,0,723,211,73,112,0,
186,76,200,79,756,0,684,210,73,116,0,
187,76,199,80,756,0,664,210,73,118,0,
188,75,199,81,755,0,680,210,72,114,0,
189,75,200,80,756,0,829,211,72,113,0,
190,75,199,80,754,0,884,209,73,108,0,
191,76,198,79,754,0,892,210,72,113,0,
192,76,199,78,754,0,984,210,73,106,0,
193,75,198,77,754,0,1000,210,72,103,0,
194,76,200,76,754,0,1002,210,73,107,0,
195,76,198,75,753,0,967,210,72,103,0,
196,76,200,74,753,0,926,210,73,105,0,
197,77,199,73,752,0,857,210,73,109,0,
198,77,200,73,752,0,733,209,74,97,0,
199,77,198,73,750,0,724,211,74,109,0,
200,77,197,74,737,0,669,210,73,106,0,
201,78,200,74,751,0,789,210,73,104,0,
202,77,198,72,751,0,1002,210,73,107,0,
203,78,199,71,751,0,939,210,73,106,0,
204,77,200,70,751,0,1052,210,73,104,0,
205,78,199,68,751,0,1093,210,73,100,0,
206,78,199,67,751,0,969,210,74,100,0,
207,77,199,66,752,0,1001,209,74,104,0,
208,77,199,66,749,0,908,210,73,100,0,
209,76,199,66,749,0,945,210,73,101,0,
210,77,198,66,750,0,944,210,73,102,0,
211,76,198,67,750,0,865,210,73,101,0,
212,76,200,67,750,0,847,210,73,101,0,
213,78,199,68,750,0,794,210,73,107,0,
214,78,198,69,751,0,779,210,74,103,0,
215,77,199,68,749,0,822,210,73,105,0,
216,77,199,68,749,0,880,210,74,104,0,
217,77,200,67,749,0,862,210,74,103,0,
218,78,200,66,749,0,940,210,74,104,0,
219,78,198,65,749,0,924,210,74,103,0,
220,78,198,65,749,0,920,210,74,105,0,
221,78,198,66,749,0,887,210,74,105,0,
222,78,198,66,748,0,846,210,74,108,0,
223,77,199,67,747,0,826,210,74,100,0,
224,78,198,68,747,0,845,210,73,102,0,
225,79,198,68,747,0,862,210,74,100,0,
226,77,199,69,732,0,817,210,73,95,0,
227,78,200,70,746,0,731,210,74,103,0,
228,78,200,71,746,0,712,210,74,107,0,
229,78,200,72,747,0,711,210,75,105,0,
230,78,198,72,745,0,735,210,75,105,0,
231,77,199,73,746,0,735,209,74,100,0,
232,76,198,73,747,0,757,211,74,97,0,
233,76,199,74,745,0,739,210,74,97,0,
234,75,198,76,747,0,708,211,75,101,0,
235,75,200,77,746,0,719,211,74,104,0,
236,76,199,78,746,0,711,211,74,104,0,
237,76,199,79,738,0,794,209,74,94,0,
238,76,199,78,746,0,896,210,74,103,0,
239,76,198,78,745,0,854,210,73,104,0,
240,76,201,78,744,0,925,210,74,100,0,
241,76,197,77,744,0,943,210,74,104,0,
242,76,198,77,743,0,857,210,73,103,0,
243,71,199,77,744,0,885,210,74,97,0,
244,79,199,75,745,0,851,210,74,96,0,
245,79,199,74,744,0,858,210,74,103,0,
246,78,199,74,743,0,835,211,74,105,0,
247,78,199,74,743,0,775,211,74,107,0,
248,79,199,74,744,0,755,208,74,98,0,
249,78,198,74,742,0,721,211,73,111,0,
250,79,199,74,742,0,750,210,74,107,0,
251,79,198,73,744,0,804,211,73,113,0,
252,78,199,73,743,0,768,210,74,105,0,
253,78,198,72,743,0,814,211,73,96,0,
254,79,200,72,742,0,832,209,72,97,0,
255,79,199,72,728,0,854,210,73,99,0,
256,79,199,73,744,0,801,210,73,100,0,
257,79,198,74,742,0,766,210,73,99,0,
258,79,200,74,742,0,740,210,74,96,0,
259,77,197,76,742,0,693,211,73,102,0,
260,78,199,77,742,0,673,210,73,97,0,
261,79,198,79,742,0,672,210,73,98,0,
262,79,198,79,742,0,702,210,72,98,0,
263,77,199,79,742,0,731,210,73,103,0,
264,77,198,79,741,0,742,211,74,103,0,
265,77,196,79,741,0,808,210,74,105,0,
266,77,199,78,741,0,905,210,73,101,0,
267,78,199,77,740,0,988,210,73,100,0,
268,77,199,77,740,0,879,210,73,101,0,
269,75,200,77,741,0,749,209,72,91,0,
270,76,199,78,740,0,752,209,73,91,0,
271,74,200,78,738,0,779,208,71,117,0,
272,76,199,78,739,0,705,208,69,85,0,
273,76,199,79,737,0,708,209,69,84,0,
274,76,198,78,738,0,728,209,70,88,0,
275,76,199,78,738,0,779,208,70,79,0,
276,77,198,77,736,0,835,209,71,81,0,
277,77,200,76,736,0,898,209,70,89,0,
278,78,199,75,735,0,914,209,71,84,0,
279,78,199,74,735,0,902,210,71,91,0,
280,77,199,73,738,0,786,209,71,85,0,
281,76,199,73,738,0,751,209,71,84,0,
282,77,198,74,737,0,761,209,71,84,0,
283,77,198,75,736,0,790,209,72,84,0,
284,76,199,75,736,0,875,210,71,84,0,
285,76,199,74,735,0,984,209,72,80,0,
286,76,198,73,737,0,964,209,72,79,0,
287,77,198,72,721,0,996,209,72,77,0,
288,77,199,71,733,0,1001,210,72,83,0,
289,76,198,69,735,0,1001,209,72,83,0,
290,75,199,69,735,0,900,210,72,97,0,
291,75,199,68,734,0,813,210,73,91,0,
292,74,199,68,734,0,813,209,73,89,0,
293,75,197,68,734,0,790,209,73,85,0,
294,74,198,68,735,0,844,211,73,96,0,
295,74,199,69,735,0,885,209,73,86,0,
296,74,199,68,734,0,954,209,74,83,0,
297,73,198,68,736,0,1003,209,74,79,0,
298,72,198,67,734,0,1016,211,74,88,0,
299,72,199,66,734,0,982,209,75,83,0,
300,72,198,65,734,0,917,210,75,85,0,
301,72,198,65,733,0,850,210,75,86,0,
302,72,199,66,733,0,800,210,74,85,0,
303,72,199,67,734,0,779,210,75,81,0,
304,72,199,67,732,0,760,209,74,81,0,
305,72,199,68,732,0,816,210,75,81,0,
306,71,198,68,732,0,902,210,75,85,0,
307,72,197,69,732,0,903,210,74,84,0,
308,74,198,68,731,0,975,210,74,88,0,
309,77,198,68,732,0,894,211,74,98,0,
310,79,198,68,732,0,876,211,76,96,0,
311,81,200,67,732,0,874,211,75,100,0,
312,81,199,67,731,0,846,210,75,96,0,
313,77,198,67,732,0,807,210,76,96,0,
314,78,200,70,733,0,693,210,75,89,0,
315,77,198,71,731,0,679,211,75,93,0,
316,80,198,73,729,0,761,211,73,99,0,
317,79,198,73,729,0,794,210,73,95,0,
318,80,198,73,727,0,774,210,73,94,0,
319,79,199,73,727,0,810,210,74,90,0,
320,80,198,73,726,0,865,210,73,90,0,
321,81,197,73,726,0,877,210,73,90,0,
322,81,199,72,726,0,952,210,74,90,0,
323,81,199,71,726,0,949,210,74,94,0,
324,80,199,71,716,0,928,210,73,91,0,
325,81,199,71,726,0,944,210,74,93,0,
326,79,198,71,726,0,944,210,74,95,0,
327,80,199,71,727,-11,862,210,75,95,0,
328,70,200,71,775,-11,899,208,72,75,0,
329,78,197,72,762,-11,556,203,84,76,0,
330,75,198,72,771,-11,556,208,75,73,0,
331,74,199,68,763,-11,1668,207,74,73,0,
332,76,198,68,760,-11,701,209,75,74,0,
333,75,198,68,762,-11,736,208,75,73,0,
334,76,198,68,761,-11,770,208,75,73,0,
335,75,197,68,762,-11,778,208,75,73,0,
336,76,198,68,763,-11,797,210,76,72,0,
337,75,198,68,764,-11,791,208,75,73,0,
338,75,199,69,766,-11,761,208,76,73,0,
339,76,198,70,773,-11,768,208,76,72,0,
340,77,198,71,775,-11,801,208,76,75,0,
341,77,198,72,775,-11,779,209,76,75,0,
342,77,198,74,777,-11,699,210,76,75,0,
343,77,198,74,779,-11,711,209,76,75,0,
344,77,198,75,779,-11,733,209,77,75,0,
345,77,199,74,781,-11,821,210,77,75,0,
346,78,197,78,782,-11,898,210,76,75,0,
347,78,198,77,781,-11,988,210,77,74,0,
348,77,199,76,783,-11,901,209,76,76,0,
349,73,199,75,785,-11,920,204,68,71,0,
350,73,198,74,785,-11,921,204,67,70,0,
351,75,198,74,788,-11,906,205,66,70,0,
352,75,200,73,788,-11,873,205,67,70,0,
353,74,199,73,789,-11,807,205,67,72,0,
354,74,198,73,789,-11,733,205,67,70,0,
355,73,198,73,794,-11,750,205,67,71,0,
356,75,198,73,801,-11,834,206,67,71,0,
357,74,198,72,801,-11,939,206,66,70,0,
358,74,198,72,802,-11,990,206,66,70,0,
359,74,196,70,802,-11,998,204,67,70,0,
360,76,198,69,801,-11,982,205,67,70,0,
361,75,199,68,803,-11,846,204,67,72,0,
362,76,199,68,802,-11,795,205,67,70,0,
363,76,198,68,800,-11,756,205,67,71,0,
364,75,200,70,801,-11,793,205,67,71,0,
365,76,199,70,802,-11,889,205,67,70,0,
366,76,198,70,801,-11,875,206,67,71,0,
367,75,198,70,801,-11,937,205,67,70,0,
368,76,198,69,803,-11,1018,205,68,73,0,
369,75,195,69,802,-11,967,205,67,71,0,
370,76,200,68,803,-11,1037,205,67,71,0,
371,77,198,67,805,-11,992,207,69,70,0,
372,79,199,66,809,-11,971,208,76,70,0,
373,80,200,68,746,-11,230,207,75,70,0,
374,80,199,68,755,-11,230,207,75,70,0,
375,79,198,68,759,-11,230,206,75,70,0,
376,79,199,63,765,-11,2390,207,74,70,0,
377,79,199,63,768,-11,816,207,73,70,0,
378,80,199,64,770,-11,875,207,73,70,0,
379,70,196,64,787,-11,849,206,72,70,0,
380,83,200,66,737,-11,272,208,71,73,0,
381,87,199,66,717,-11,655,208,71,74,0,
382,90,199,65,699,-11,977,208,71,73,0,
383,92,199,65,700,-11,943,208,71,73,0,
384,88,198,65,692,-11,868,208,73,76,0,
385,95,198,65,693,-11,770,208,73,76,0,
386,93,199,67,684,-11,742,210,74,96,0,
387,89,198,69,666,-11,688,211,73,120,0,
388,92,197,71,647,-11,717,210,73,94,0,
389,89,198,71,645,-11,775,210,73,99,0,
390,90,199,70,642,-11,832,210,72,89,0,
391,92,199,70,643,-11,805,209,72,83,0,
392,94,199,77,642,-11,851,210,73,95,0,
393,94,199,77,642,-11,851,210,73,95,0,
394,94,199,77,642,-11,851,210,73,95,0,
395,94,199,77,642,-11,851,210,73,95,0,
396,94,199,77,642,-11,851,210,73,95,0,
397,70,199,73,673,-11,940,207,70,72,0,
398,71,198,73,680,-11,935,205,74,72,0,
399,72,198,73,625,-11,902,210,72,98,0,
400,74,199,73,633,-11,902,210,73,99,0,
401,74,198,73,602,-11,902,210,73,103,0,
402,74,198,73,583,-11,3318,210,74,103,0,
403,74,199,64,565,-11,837,210,73,104,0,
404,75,199,63,565,-11,886,210,73,103,0,
405,76,199,62,571,-11,873,210,74,114,0,
406,76,199,62,567,-11,838,210,73,113,0,
407,77,196,61,570,-11,802,210,72,115,0,
408,78,198,61,585,-11,795,210,73,123,0,
409,77,198,61,587,-11,757,211,73,121,0,
410,77,199,62,587,-11,777,211,74,123,0,
411,77,199,62,588,-11,802,211,74,113,0,
